filename,full_path_filename,extracted_filename_fund_name,extracted_filename_date,date,load_datetime_utc,hash_uid
Applebead.28-02-2023 breakdown.csv,/opt/airflow/data/external-funds/external-funds/Applebead.28-02-2023 breakdown.csv,Applebead,28-02-2023,2023-02-28,2024-06-21 07:52:21.256132+00:00,11419240054371783369
Applebead.30-04-2023 breakdown.csv,/opt/airflow/data/external-funds/external-funds/Applebead.30-04-2023 breakdown.csv,Applebead,30-04-2023,2023-04-30,2024-06-21 07:52:21.256132+00:00,3011223028007827377
Applebead.30-06-2023 breakdown.csv,/opt/airflow/data/external-funds/external-funds/Applebead.30-06-2023 breakdown.csv,Applebead,30-06-2023,2023-06-30,2024-06-21 07:52:21.256132+00:00,16213117660708233687
Applebead.30-09-2022 breakdown.csv,/opt/airflow/data/external-funds/external-funds/Applebead.30-09-2022 breakdown.csv,Applebead,30-09-2022,2022-09-30,2024-06-21 07:52:21.256132+00:00,1205996630034832610
Applebead.30-11-2022 breakdown.csv,/opt/airflow/data/external-funds/external-funds/Applebead.30-11-2022 breakdown.csv,Applebead,30-11-2022,2022-11-30,2024-06-21 07:52:21.256132+00:00,3836966297399830158
Applebead.31-01-2023 breakdown.csv,/opt/airflow/data/external-funds/external-funds/Applebead.31-01-2023 breakdown.csv,Applebead,31-01-2023,2023-01-31,2024-06-21 07:52:21.256132+00:00,5662120546987975761
Applebead.31-03-2023 breakdown.csv,/opt/airflow/data/external-funds/external-funds/Applebead.31-03-2023 breakdown.csv,Applebead,31-03-2023,2023-03-31,2024-06-21 07:52:21.256132+00:00,5684862121070477233
Applebead.31-05-2023 breakdown.csv,/opt/airflow/data/external-funds/external-funds/Applebead.31-05-2023 breakdown.csv,Applebead,31-05-2023,2023-05-31,2024-06-21 07:52:21.256132+00:00,6945823191930832625
Applebead.31-07-2023 breakdown.csv,/opt/airflow/data/external-funds/external-funds/Applebead.31-07-2023 breakdown.csv,Applebead,31-07-2023,2023-07-31,2024-06-21 07:52:21.256132+00:00,2877192794529571145
Applebead.31-08-2022 breakdown.csv,/opt/airflow/data/external-funds/external-funds/Applebead.31-08-2022 breakdown.csv,Applebead,31-08-2022,2022-08-31,2024-06-21 07:52:21.256132+00:00,10243761840529075426
Applebead.31-08-2023 breakdown.csv,/opt/airflow/data/external-funds/external-funds/Applebead.31-08-2023 breakdown.csv,Applebead,31-08-2023,2023-08-31,2024-06-21 07:52:21.256132+00:00,15875202443356276345
Applebead.31-10-2022 breakdown.csv,/opt/airflow/data/external-funds/external-funds/Applebead.31-10-2022 breakdown.csv,Applebead,31-10-2022,2022-10-31,2024-06-21 07:52:21.256132+00:00,10834912820082033211
Applebead.31-12-2022 breakdown.csv,/opt/airflow/data/external-funds/external-funds/Applebead.31-12-2022 breakdown.csv,Applebead,31-12-2022,2022-12-31,2024-06-21 07:52:21.256132+00:00,11235854897716102280
Belaware.28_02_2023.csv,/opt/airflow/data/external-funds/external-funds/Belaware.28_02_2023.csv,Belaware,28-02-2023,2023-02-28,2024-06-21 07:52:21.256132+00:00,14479454589348729504
Belaware.30_04_2023.csv,/opt/airflow/data/external-funds/external-funds/Belaware.30_04_2023.csv,Belaware,30-04-2023,2023-04-30,2024-06-21 07:52:21.256132+00:00,10971090836846236617
Belaware.30_06_2023.csv,/opt/airflow/data/external-funds/external-funds/Belaware.30_06_2023.csv,Belaware,30-06-2023,2023-06-30,2024-06-21 07:52:21.256132+00:00,12899684898530230501
Belaware.30_09_2022.csv,/opt/airflow/data/external-funds/external-funds/Belaware.30_09_2022.csv,Belaware,30-09-2022,2022-09-30,2024-06-21 07:52:21.256132+00:00,10281006107464152543
Belaware.30_11_2022.csv,/opt/airflow/data/external-funds/external-funds/Belaware.30_11_2022.csv,Belaware,30-11-2022,2022-11-30,2024-06-21 07:52:21.256132+00:00,4498744594067262937
Belaware.31_01_2023.csv,/opt/airflow/data/external-funds/external-funds/Belaware.31_01_2023.csv,Belaware,31-01-2023,2023-01-31,2024-06-21 07:52:21.256132+00:00,18070149728345479998
Belaware.31_03_2023.csv,/opt/airflow/data/external-funds/external-funds/Belaware.31_03_2023.csv,Belaware,31-03-2023,2023-03-31,2024-06-21 07:52:21.256132+00:00,6923265388325617583
Belaware.31_05_2023.csv,/opt/airflow/data/external-funds/external-funds/Belaware.31_05_2023.csv,Belaware,31-05-2023,2023-05-31,2024-06-21 07:52:21.256132+00:00,5720302281797824816
Belaware.31_07_2023.csv,/opt/airflow/data/external-funds/external-funds/Belaware.31_07_2023.csv,Belaware,31-07-2023,2023-07-31,2024-06-21 07:52:21.256132+00:00,476106113736544510
Belaware.31_08_2022.csv,/opt/airflow/data/external-funds/external-funds/Belaware.31_08_2022.csv,Belaware,31-08-2022,2022-08-31,2024-06-21 07:52:21.256132+00:00,8814396402895361137
Belaware.31_08_2023.csv,/opt/airflow/data/external-funds/external-funds/Belaware.31_08_2023.csv,Belaware,31-08-2023,2023-08-31,2024-06-21 07:52:21.256132+00:00,6233764008611242575
Belaware.31_10_2022.csv,/opt/airflow/data/external-funds/external-funds/Belaware.31_10_2022.csv,Belaware,31-10-2022,2022-10-31,2024-06-21 07:52:21.256132+00:00,12589095642940857395
Belaware.31_12_2022.csv,/opt/airflow/data/external-funds/external-funds/Belaware.31_12_2022.csv,Belaware,31-12-2022,2022-12-31,2024-06-21 07:52:21.256132+00:00,17944507051285313245
Fund Whitestone.28-02-2023 - details.csv,/opt/airflow/data/external-funds/external-funds/Fund Whitestone.28-02-2023 - details.csv,Whitestone,28-02-2023,2023-02-28,2024-06-21 07:52:21.256132+00:00,549842280758287243
Fund Whitestone.30-04-2023 - details.csv,/opt/airflow/data/external-funds/external-funds/Fund Whitestone.30-04-2023 - details.csv,Whitestone,30-04-2023,2023-04-30,2024-06-21 07:52:21.256132+00:00,3363378345384815251
Fund Whitestone.30-06-2023 - details.csv,/opt/airflow/data/external-funds/external-funds/Fund Whitestone.30-06-2023 - details.csv,Whitestone,30-06-2023,2023-06-30,2024-06-21 07:52:21.256132+00:00,4889902047343180170
Fund Whitestone.30-09-2022 - details.csv,/opt/airflow/data/external-funds/external-funds/Fund Whitestone.30-09-2022 - details.csv,Whitestone,30-09-2022,2022-09-30,2024-06-21 07:52:21.256132+00:00,581255302857341760
Fund Whitestone.30-11-2022 - details.csv,/opt/airflow/data/external-funds/external-funds/Fund Whitestone.30-11-2022 - details.csv,Whitestone,30-11-2022,2022-11-30,2024-06-21 07:52:21.256132+00:00,14842107892699774535
Fund Whitestone.31-01-2023 - details.csv,/opt/airflow/data/external-funds/external-funds/Fund Whitestone.31-01-2023 - details.csv,Whitestone,31-01-2023,2023-01-31,2024-06-21 07:52:21.256132+00:00,6155428056154031130
Fund Whitestone.31-03-2023 - details.csv,/opt/airflow/data/external-funds/external-funds/Fund Whitestone.31-03-2023 - details.csv,Whitestone,31-03-2023,2023-03-31,2024-06-21 07:52:21.256132+00:00,15374551805060496895
Fund Whitestone.31-05-2023 - details.csv,/opt/airflow/data/external-funds/external-funds/Fund Whitestone.31-05-2023 - details.csv,Whitestone,31-05-2023,2023-05-31,2024-06-21 07:52:21.256132+00:00,3242376902839169457
Fund Whitestone.31-07-2023 - details.csv,/opt/airflow/data/external-funds/external-funds/Fund Whitestone.31-07-2023 - details.csv,Whitestone,31-07-2023,2023-07-31,2024-06-21 07:52:21.256132+00:00,8518202225900640171
Fund Whitestone.31-08-2022 - details.csv,/opt/airflow/data/external-funds/external-funds/Fund Whitestone.31-08-2022 - details.csv,Whitestone,31-08-2022,2022-08-31,2024-06-21 07:52:21.256132+00:00,11709063517857464153
Fund Whitestone.31-08-2023 - details.csv,/opt/airflow/data/external-funds/external-funds/Fund Whitestone.31-08-2023 - details.csv,Whitestone,31-08-2023,2023-08-31,2024-06-21 07:52:21.256132+00:00,6309256793125609196
Fund Whitestone.31-10-2022 - details.csv,/opt/airflow/data/external-funds/external-funds/Fund Whitestone.31-10-2022 - details.csv,Whitestone,31-10-2022,2022-10-31,2024-06-21 07:52:21.256132+00:00,4642567213680609401
Fund Whitestone.31-12-2022 - details.csv,/opt/airflow/data/external-funds/external-funds/Fund Whitestone.31-12-2022 - details.csv,Whitestone,31-12-2022,2022-12-31,2024-06-21 07:52:21.256132+00:00,12674114094393004408
Leeder.01_31_2023.csv,/opt/airflow/data/external-funds/external-funds/Leeder.01_31_2023.csv,Leeder,01-31-2023,2023-01-31,2024-06-21 07:52:21.256132+00:00,2485307536236803246
Leeder.02_28_2023.csv,/opt/airflow/data/external-funds/external-funds/Leeder.02_28_2023.csv,Leeder,02-28-2023,2023-02-28,2024-06-21 07:52:21.256132+00:00,6292493474308900321
Leeder.03_31_2023.csv,/opt/airflow/data/external-funds/external-funds/Leeder.03_31_2023.csv,Leeder,03-31-2023,2023-03-31,2024-06-21 07:52:21.256132+00:00,14931299390470214035
Leeder.04_30_2023.csv,/opt/airflow/data/external-funds/external-funds/Leeder.04_30_2023.csv,Leeder,04-30-2023,2023-04-30,2024-06-21 07:52:21.256132+00:00,726961943131204962
Leeder.05_31_2023.csv,/opt/airflow/data/external-funds/external-funds/Leeder.05_31_2023.csv,Leeder,05-31-2023,2023-05-31,2024-06-21 07:52:21.256132+00:00,9947317167533521315
Leeder.06_30_2023.csv,/opt/airflow/data/external-funds/external-funds/Leeder.06_30_2023.csv,Leeder,06-30-2023,2023-06-30,2024-06-21 07:52:21.256132+00:00,5965900707981318346
Leeder.07_31_2023.csv,/opt/airflow/data/external-funds/external-funds/Leeder.07_31_2023.csv,Leeder,07-31-2023,2023-07-31,2024-06-21 07:52:21.256132+00:00,8469102651892463806
Leeder.08_31_2022.csv,/opt/airflow/data/external-funds/external-funds/Leeder.08_31_2022.csv,Leeder,08-31-2022,2022-08-31,2024-06-21 07:52:21.256132+00:00,11795037143092190462
Leeder.08_31_2023.csv,/opt/airflow/data/external-funds/external-funds/Leeder.08_31_2023.csv,Leeder,08-31-2023,2023-08-31,2024-06-21 07:52:21.256132+00:00,13649723557568884361
Leeder.09_30_2022.csv,/opt/airflow/data/external-funds/external-funds/Leeder.09_30_2022.csv,Leeder,09-30-2022,2022-09-30,2024-06-21 07:52:21.256132+00:00,9538517385287474429
Leeder.10_31_2022.csv,/opt/airflow/data/external-funds/external-funds/Leeder.10_31_2022.csv,Leeder,10-31-2022,2022-10-31,2024-06-21 07:52:21.256132+00:00,16474834737358245436
Leeder.11_30_2022.csv,/opt/airflow/data/external-funds/external-funds/Leeder.11_30_2022.csv,Leeder,11-30-2022,2022-11-30,2024-06-21 07:52:21.256132+00:00,17973263896042733234
Leeder.12_31_2022.csv,/opt/airflow/data/external-funds/external-funds/Leeder.12_31_2022.csv,Leeder,12-31-2022,2022-12-31,2024-06-21 07:52:21.256132+00:00,8903335274550938329
Magnum.28-02-2023.csv,/opt/airflow/data/external-funds/external-funds/Magnum.28-02-2023.csv,Magnum,28-02-2023,2023-02-28,2024-06-21 07:52:21.256132+00:00,17577501765137771653
Magnum.30-04-2023.csv,/opt/airflow/data/external-funds/external-funds/Magnum.30-04-2023.csv,Magnum,30-04-2023,2023-04-30,2024-06-21 07:52:21.256132+00:00,10807308389878237213
Magnum.30-06-2023.csv,/opt/airflow/data/external-funds/external-funds/Magnum.30-06-2023.csv,Magnum,30-06-2023,2023-06-30,2024-06-21 07:52:21.256132+00:00,17694670894449438423
Magnum.30-09-2022.csv,/opt/airflow/data/external-funds/external-funds/Magnum.30-09-2022.csv,Magnum,30-09-2022,2022-09-30,2024-06-21 07:52:21.256132+00:00,15913751298950313185
Magnum.30-11-2022.csv,/opt/airflow/data/external-funds/external-funds/Magnum.30-11-2022.csv,Magnum,30-11-2022,2022-11-30,2024-06-21 07:52:21.256132+00:00,6697034662451225621
Magnum.31-01-2023.csv,/opt/airflow/data/external-funds/external-funds/Magnum.31-01-2023.csv,Magnum,31-01-2023,2023-01-31,2024-06-21 07:52:21.256132+00:00,14727928815354101973
Magnum.31-03-2023.csv,/opt/airflow/data/external-funds/external-funds/Magnum.31-03-2023.csv,Magnum,31-03-2023,2023-03-31,2024-06-21 07:52:21.256132+00:00,15596911932366193970
Magnum.31-05-2023.csv,/opt/airflow/data/external-funds/external-funds/Magnum.31-05-2023.csv,Magnum,31-05-2023,2023-05-31,2024-06-21 07:52:21.256132+00:00,18364098477668098304
Magnum.31-07-2023.csv,/opt/airflow/data/external-funds/external-funds/Magnum.31-07-2023.csv,Magnum,31-07-2023,2023-07-31,2024-06-21 07:52:21.256132+00:00,5482360003923748379
Magnum.31-08-2022.csv,/opt/airflow/data/external-funds/external-funds/Magnum.31-08-2022.csv,Magnum,31-08-2022,2022-08-31,2024-06-21 07:52:21.256132+00:00,2349430255079069643
Magnum.31-08-2023.csv,/opt/airflow/data/external-funds/external-funds/Magnum.31-08-2023.csv,Magnum,31-08-2023,2023-08-31,2024-06-21 07:52:21.256132+00:00,3672911411282266448
